miRNA,D0PF1,D0PF2,D0SAG1,D0SAG2,D7PF1,D7PF2,D7SAG1,D7SAG2
mmu-miR-7018-3p,44,54,44,50,15,6,16,33
mmu-miR-7017-5p,6,2,1,2,0,0,1,1
mmu-miR-7017-3p,0,0,1,0,0,0,1,0
mmu-miR-7016-5p,0,0,0,0,0,0,1,4
mmu-miR-7016-3p,0,0,0,0,1,0,1,0
mmu-miR-7015-5p,0,0,0,0,2,1,0,0
mmu-miR-7015-3p,3,2,2,1,5,1,6,5
mmu-miR-7014-5p,1,1,0,0,0,0,1,0
mmu-miR-7014-3p,0,1,0,0,0,0,0,0
mmu-miR-7013-5p,5,6,3,9,8,2,8,3
mmu-miR-7013-3p,3,1,3,2,0,1,1,1
mmu-miR-7012-5p,0,0,0,0,2,1,2,2
mmu-miR-7010-5p,0,0,0,4,0,0,0,0
mmu-miR-701-5p,187,104,138,145,96,72,120,90
mmu-miR-701-3p,47,30,36,33,17,10,40,35
mmu-miR-7009-5p,9,16,13,12,16,2,8,11
mmu-miR-7009-3p,0,0,0,1,1,0,1,2
mmu-miR-7008-5p,3,1,2,3,1,1,1,1
mmu-miR-7008-3p,0,0,2,0,1,0,2,1
mmu-miR-7007-5p,0,0,0,0,1,1,0,0
mmu-miR-7007-3p,0,0,0,0,1,0,0,0
mmu-miR-7006-5p,0,0,0,0,1,0,0,0
mmu-miR-7004-5p,0,0,0,0,0,0,1,1
mmu-miR-7003-5p,0,0,0,0,1,0,0,0
mmu-miR-7002-5p,0,1,0,0,0,0,0,2
mmu-miR-7002-3p,0,0,0,0,0,1,0,0
mmu-miR-7001-3p,0,0,0,0,0,1,0,0
mmu-miR-7000-5p,0,0,1,0,0,0,0,0
mmu-miR-7000-3p,0,0,1,0,0,0,0,2
mmu-miR-700-5p,389,303,458,311,483,199,434,430
mmu-miR-700-3p,1080,1397,1344,825,794,390,905,913
mmu-miR-6999-3p,0,0,0,1,0,0,0,0
mmu-miR-6998-5p,1,0,2,0,0,0,3,0
mmu-miR-6998-3p,9,11,8,2,2,0,4,2
mmu-miR-6997-5p,11,2,6,8,0,1,1,5
mmu-miR-6997-3p,2,5,2,9,4,1,3,4
mmu-miR-6996-5p,4,4,6,6,6,3,4,4
mmu-miR-6996-3p,0,0,3,1,0,1,2,0
mmu-miR-6995-5p,3,3,3,3,2,0,0,1
mmu-miR-6995-3p,1,0,0,0,1,0,3,0
mmu-miR-6994-5p,6,5,6,4,3,4,4,2
mmu-miR-6994-3p,5,4,2,6,7,3,3,7
mmu-miR-6993-5p,0,0,2,1,0,0,0,0
mmu-miR-6992-5p,9,6,0,3,1,0,6,0
mmu-miR-6992-3p,0,0,0,0,1,0,1,1
mmu-miR-6991-5p,1,0,3,0,2,0,0,0
mmu-miR-6991-3p,3,0,0,0,1,0,0,0
mmu-miR-6990-5p,8,11,14,5,10,2,7,11
mmu-miR-6989-5p,0,0,1,0,0,0,0,0
mmu-miR-6989-3p,1,4,1,1,3,0,3,1
mmu-miR-6988-5p,1,0,0,0,0,0,1,0
mmu-miR-6988-3p,1,0,0,5,1,0,0,1
mmu-miR-6987-5p,0,1,1,1,1,0,2,5
mmu-miR-6987-3p,0,0,0,0,0,0,0,1
mmu-miR-6986-5p,8,3,5,7,2,7,13,8
mmu-miR-6986-3p,0,0,0,0,0,0,1,0
mmu-miR-6985-5p,2,0,0,0,2,4,4,0
mmu-miR-6985-3p,3,2,3,6,3,3,2,7
mmu-miR-6984-5p,1,3,1,4,1,1,2,0
mmu-miR-6984-3p,2,0,0,0,3,0,1,1
mmu-miR-6983-5p,0,0,0,0,5,2,1,2
mmu-miR-6983-3p,0,0,0,0,2,0,0,0
mmu-miR-6981-3p,0,0,0,0,0,0,1,1
mmu-miR-6980-5p,0,0,0,0,0,0,0,1
mmu-miR-698-5p,2,0,0,1,0,2,0,1
mmu-miR-698-3p,0,2,0,0,0,0,1,1
mmu-miR-6979-3p,0,3,1,0,0,0,0,1
mmu-miR-6978-3p,0,0,0,0,0,0,0,1
mmu-miR-6977-5p,0,0,0,0,1,0,0,0
mmu-miR-6977-3p,12,7,7,6,1,1,7,3
mmu-miR-6976-5p,3,2,2,7,1,1,3,1
mmu-miR-6975-5p,0,0,0,0,0,0,1,0
mmu-miR-6975-3p,4,0,2,0,3,1,1,0
mmu-miR-6974-5p,0,0,0,0,0,1,0,0
mmu-miR-6972-3p,0,0,0,0,1,0,0,0
mmu-miR-6971-5p,1,1,0,1,0,0,0,0
mmu-miR-6971-3p,0,2,2,1,0,3,3,0
mmu-miR-6970-5p,7,3,3,1,5,4,3,6
mmu-miR-6970-3p,10,13,16,11,11,3,8,12
mmu-miR-6968-5p,1,0,1,0,0,0,0,0
mmu-miR-6968-3p,0,0,1,0,1,0,0,2
mmu-miR-6967-5p,4,8,8,6,6,1,4,6
mmu-miR-6967-3p,3,7,1,0,4,3,7,3
mmu-miR-6966-5p,0,8,6,2,2,0,3,2
mmu-miR-6966-3p,4,3,6,1,1,3,1,1
mmu-miR-6965-3p,0,3,2,1,0,0,1,0
mmu-miR-6964-5p,0,0,0,0,0,1,1,0
mmu-miR-6964-3p,0,0,0,0,1,0,0,0
mmu-miR-6963-5p,1,1,0,0,2,0,1,0
mmu-miR-6963-3p,17,4,13,7,2,1,13,6
mmu-miR-6962-5p,0,2,3,1,3,0,0,1
mmu-miR-6962-3p,0,1,0,3,1,0,1,1
mmu-miR-6960-5p,12,3,6,2,13,5,12,6
mmu-miR-6960-3p,0,0,0,0,1,0,0,0
mmu-miR-6959-5p,2,3,2,2,1,3,0,0
mmu-miR-6959-3p,0,0,0,0,0,0,0,1
mmu-miR-6958-3p,5,2,6,7,1,2,2,3
mmu-miR-6956-5p,0,0,0,0,0,0,1,1
mmu-miR-6956-3p,0,0,1,0,0,0,2,2
mmu-miR-6955-5p,4,4,1,4,3,2,4,1
mmu-miR-6955-3p,0,1,0,2,0,1,4,5
mmu-miR-6954-5p,1,0,5,1,1,1,0,0
mmu-miR-6954-3p,0,2,2,0,2,0,1,1
mmu-miR-6953-3p,2,0,0,1,0,0,0,0
mmu-miR-6952-5p,1,0,1,4,0,3,2,2
mmu-miR-6952-3p,2,7,3,3,4,2,2,4
mmu-miR-6951-5p,7,2,0,3,4,4,4,2
mmu-miR-6950-5p,6,3,4,4,2,6,3,6
mmu-miR-6950-3p,0,0,0,0,0,0,0,1
mmu-miR-6948-5p,23,13,10,10,17,5,15,16
mmu-miR-6948-3p,12,9,12,15,3,3,5,12
mmu-miR-6947-5p,0,2,1,0,0,1,1,0
mmu-miR-6947-3p,0,0,1,0,0,0,0,0
mmu-miR-6946-5p,9,0,2,2,4,0,3,0
mmu-miR-6946-3p,0,0,2,0,0,0,5,2
mmu-miR-6945-5p,11,4,3,4,0,1,1,0
mmu-miR-6945-3p,33,13,42,46,10,10,25,16
mmu-miR-6944-5p,0,1,3,0,0,1,0,0
mmu-miR-6944-3p,106,79,43,110,70,40,94,92
mmu-miR-6943-5p,2,0,0,0,1,0,0,0
mmu-miR-6943-3p,0,0,2,0,0,0,0,0
mmu-miR-6942-5p,0,0,0,2,5,3,3,0
mmu-miR-6942-3p,3,2,3,1,1,0,0,2
mmu-miR-6940-3p,17,18,20,22,10,5,19,12
mmu-miR-694,5,1,2,3,0,0,4,4
mmu-miR-6939-5p,2,2,0,0,0,0,0,0
mmu-miR-6939-3p,1,0,0,3,0,2,0,2
mmu-miR-6938-5p,2,0,1,1,0,0,0,0
mmu-miR-6938-3p,0,0,1,1,0,2,3,0
mmu-miR-6937-5p,1,0,1,1,4,1,1,5
mmu-miR-6937-3p,1,0,1,0,2,6,1,6
mmu-miR-6936-3p,0,3,2,3,2,0,3,2
mmu-miR-6935-5p,3,13,7,3,2,3,4,2
mmu-miR-6934-5p,0,2,1,1,1,0,0,1
mmu-miR-6933-5p,26,38,38,36,23,10,31,28
mmu-miR-6933-3p,0,4,1,1,3,1,0,0
mmu-miR-6932-5p,2,1,0,6,1,0,8,2
mmu-miR-6932-3p,2,0,0,0,0,0,1,0
mmu-miR-6931-5p,0,0,4,0,0,0,2,0
mmu-miR-6930-5p,1,1,0,0,0,1,2,0
mmu-miR-693-5p,3,0,1,1,1,3,0,1
mmu-miR-693-3p,3,0,2,3,9,0,1,0
mmu-miR-6929-5p,0,2,0,0,1,1,2,1
mmu-miR-6929-3p,1,0,0,0,2,0,5,0
mmu-miR-6928-5p,0,0,2,0,0,0,1,0
mmu-miR-6928-3p,0,0,0,0,0,0,0,1
mmu-miR-6927-5p,1,1,1,0,0,0,0,0
mmu-miR-6927-3p,0,0,2,0,0,0,2,0
mmu-miR-6925-5p,2,2,4,2,0,4,3,4
mmu-miR-6922-5p,1,0,0,1,2,1,1,1
mmu-miR-6922-3p,2,1,2,1,4,1,1,4
mmu-miR-6921-5p,0,3,0,0,0,1,2,0
mmu-miR-6921-3p,0,0,1,1,1,0,0,2
mmu-miR-6920-5p,1,0,1,0,1,0,1,1
mmu-miR-6920-3p,1,0,2,0,0,0,0,0
mmu-miR-692,0,0,0,0,0,0,1,1
mmu-miR-6919-3p,0,0,1,0,0,0,0,0
mmu-miR-6918-5p,3,6,3,0,2,0,0,0
