miRNA,D0PF1,D0PF2,D0SAG1,D0SAG2,D7PF1,D7PF2,D7SAG1,D7SAG2
mmu-miR-128-1-5p,55,54,44,37,42,17,37,48
mmu-miR-1271-3p,0,0,0,0,1,0,0,0
mmu-miR-127-5p,30201,28063,33288,25337,27040,19619,51970,39228
mmu-miR-127-3p,227215,241387,351152,245956,226533,143410,387630,298813
mmu-miR-126b-5p,3,4,3,5,2,1,2,7
mmu-miR-126b-3p,9,2,0,4,6,1,2,3
mmu-miR-126a-5p,991,516,463,563,336,191,435,280
mmu-miR-126a-3p,1851,929,1027,1219,607,352,684,423
mmu-miR-1264-5p,0,1,2,4,0,0,1,0
mmu-miR-1264-3p,2,3,286,105,0,0,23,5
mmu-miR-125b-5p,1685354,877185,699315,1289876,1228620,813284,1444180,1152543
mmu-miR-125b-2-3p,6043,4732,6903,4990,12267,6920,10326,8814
mmu-miR-125b-1-3p,61673,64734,63907,51528,19089,12270,34902,27406
mmu-miR-125a-5p,64238,38760,30872,58187,71276,49322,76275,60792
mmu-miR-125a-3p,1351,932,1214,1023,866,572,1165,942
mmu-miR-1258-5p,1,2,5,1,1,0,0,5
mmu-miR-1258-3p,0,2,2,1,0,0,2,1
mmu-miR-1251-5p,4,8,19,14,0,1,12,9
mmu-miR-1251-3p,0,0,0,4,0,0,1,0
mmu-miR-124b-3p,3,2,0,0,2,0,0,2
mmu-miR-1249-5p,0,1,1,2,2,1,4,2
mmu-miR-1249-3p,337,639,645,317,1095,411,527,443
mmu-miR-1247-5p,772,631,303,204,137,93,85,81
mmu-miR-1247-3p,153,119,51,35,25,10,10,12
mmu-miR-124-5p,71,44,171,91,4,7,44,20
mmu-miR-124-3p,298,345,5684,2669,45,31,1293,581
mmu-miR-1231-5p,17,9,13,7,4,3,0,2
mmu-miR-1231-3p,2,5,3,3,0,2,4,0
mmu-miR-122b-5p,2,4,0,1,1,0,0,0
mmu-miR-1224-5p,0,0,0,1,0,0,1,1
mmu-miR-12206-5p,9,4,1,4,9,1,14,6
mmu-miR-12205-3p,4,0,2,1,4,1,0,0
mmu-miR-12202-5p,2,0,0,0,0,0,0,0
mmu-miR-12202-3p,3,3,2,2,4,5,4,2
mmu-miR-12201-5p,9,4,4,6,8,1,9,13
mmu-miR-12201-3p,9,5,5,9,1,0,1,2
mmu-miR-122-5p,118,108,566,184,20,17,71,31
mmu-miR-122-3p,0,0,0,0,0,1,1,0
mmu-miR-12199-3p,0,0,2,0,0,0,1,0
mmu-miR-12196-5p,3,4,0,3,0,0,1,4
mmu-miR-12196-3p,0,0,3,0,0,0,0,0
mmu-miR-12195-3p,1,0,0,0,0,0,0,0
mmu-miR-12194-3p,11,9,4,16,1,3,9,5
mmu-miR-12193-5p,0,0,0,2,0,0,0,1
mmu-miR-12191-3p,3,4,1,0,5,3,5,4
mmu-miR-12189-3p,8,7,3,4,8,4,4,6
mmu-miR-12187-5p,0,0,1,0,0,0,2,0
mmu-miR-12187-3p,2,2,1,7,5,4,3,0
mmu-miR-12186-3p,0,0,0,0,0,0,1,0
mmu-miR-12185-5p,1,0,0,0,0,0,0,1
mmu-miR-12185-3p,3,6,2,1,3,1,1,4
mmu-miR-12184-5p,0,0,0,0,1,0,1,0
mmu-miR-12182-3p,19,5,3,5,4,1,4,4
mmu-miR-12180-3p,0,0,0,1,0,0,2,0
mmu-miR-1199-5p,3,3,1,2,27,19,4,4
mmu-miR-1199-3p,0,0,0,0,3,1,0,1
mmu-miR-1198-5p,1626,970,986,1298,2046,1221,1419,1230
mmu-miR-1198-3p,13,18,13,6,12,8,17,9
mmu-miR-1197-5p,0,1,0,0,0,1,0,1
mmu-miR-1197-3p,926,665,914,781,523,390,962,845
mmu-miR-1195,34,23,56,28,11,10,23,19
mmu-miR-1194,109,100,113,79,73,51,59,55
mmu-miR-1193-5p,204,125,241,219,156,120,267,218
mmu-miR-1193-3p,3948,1903,2042,3454,2481,1832,5459,3518
mmu-miR-1191b-5p,42,70,60,44,36,30,47,42
mmu-miR-1191b-3p,3,0,2,1,0,0,5,4
mmu-miR-1191a,210,151,204,142,130,83,177,140
mmu-miR-1188-5p,119,109,155,143,115,56,152,121
mmu-miR-1188-3p,11,11,5,15,6,2,10,10
mmu-miR-1187,7,8,5,3,8,7,8,3
mmu-miR-10b-5p,46225,18403,12599,28980,92291,62161,61631,30218
mmu-miR-10b-3p,571,224,189,312,893,550,631,423
mmu-miR-10a-5p,245,79,86,67,1585,818,823,244
mmu-miR-10a-3p,5,0,1,3,20,10,15,4
mmu-miR-107-5p,3,5,8,2,5,6,11,10
mmu-miR-107-3p,19896,16894,22075,17413,14855,10728,21424,17618
mmu-miR-106b-5p,12315,7432,8310,8276,8472,4449,7278,5947
mmu-miR-106b-3p,6327,6334,7206,5561,3308,2180,4175,3244
mmu-miR-106a-5p,3,0,7,2,1,0,7,0
mmu-miR-103-3p,174661,126959,187472,156992,148717,102098,166901,137683
mmu-miR-103-2-5p,63,59,49,39,48,17,59,39
mmu-miR-103-1-5p,4,3,1,4,2,1,3,3
mmu-miR-101c,35,31,29,33,53,42,41,30
mmu-miR-101b-5p,9,6,6,7,6,3,1,1
mmu-miR-101b-3p,51931,26751,33301,35157,28486,19088,28544,21390
mmu-miR-101a-5p,36,23,27,28,39,20,28,21
mmu-miR-101a-3p,64038,31087,40309,48308,72180,51650,62782,43029
mmu-miR-100-5p,290420,146760,141776,198419,340070,217332,393836,257903
mmu-miR-100-3p,391,211,212,285,220,159,355,217
mmu-let-7k,0,0,0,0,1,1,1,0
mmu-let-7j,249,47,20,166,141,82,175,88
mmu-let-7i-5p,548265,338853,311146,451771,375822,277991,479608,278830
mmu-let-7i-3p,6903,7246,5983,4689,5341,2641,6406,5427
mmu-let-7g-5p,174172,118555,73885,185528,174902,137652,226405,94909
mmu-let-7g-3p,68,85,52,54,77,31,84,68
mmu-let-7f-5p,458433,287036,128854,409315,651848,455937,661602,236523
mmu-let-7f-2-3p,208,92,122,162,62,62,141,103
mmu-let-7f-1-3p,427,322,327,266,224,146,392,266
mmu-let-7e-5p,33910,31150,8856,40324,58020,45996,76500,25657
mmu-let-7e-3p,1821,1463,1934,1717,655,533,1386,1124
mmu-let-7d-5p,75158,43035,46729,76378,73829,54679,72825,48355
mmu-let-7d-3p,53646,34324,40241,36648,28143,18665,38966,32616
mmu-let-7c-5p,138745,91805,35239,135791,239677,174265,289737,93060
mmu-let-7c-2-3p,3913,2167,1687,3017,2259,1529,3874,2294
mmu-let-7c-1-3p,770,484,662,716,948,662,916,747
mmu-let-7b-5p,36375,23766,9189,35230,63500,44838,77027,27682
mmu-let-7b-3p,1060,626,755,666,559,376,1002,885
mmu-let-7a-5p,248880,175208,60749,230739,279835,230533,331359,108301
mmu-let-7a-2-3p,647,516,622,547,218,206,502,375
mmu-let-7a-1-3p,3913,2167,1687,3017,2259,1529,3874,2294
Novel_99,13,0,0,0,0,0,0,0
Novel_98,20,18,21,17,0,0,0,0
Novel_97,116,102,176,109,0,28,90,69
Novel_96,0,0,0,0,700,0,0,0
Novel_95,1096,537,504,729,0,535,987,818
Novel_94,0,0,0,0,0,0,13,0
Novel_93,3,0,0,0,0,0,0,0
Novel_92,19,29,29,17,19,12,26,25
Novel_91,17,0,16,8,12,0,0,18
Novel_90,0,0,0,0,0,0,0,5
Novel_9,0,10,0,0,0,0,8,0
Novel_89,0,0,3,0,0,0,0,0
Novel_88,0,4,0,0,0,0,0,0
Novel_87,0,0,0,0,10,0,0,0
Novel_86,0,7,0,0,20,0,0,0
Novel_85,0,0,0,2,0,0,0,0
Novel_84,10,8,0,0,0,0,0,0
Novel_83,0,0,2,0,0,0,0,0
Novel_82,0,3,0,0,0,0,0,0
Novel_81,0,0,0,0,5,0,0,0
Novel_80,0,0,2,0,0,0,0,0
Novel_8,490,335,517,410,353,211,428,436
Novel_79,0,0,0,0,0,0,0,8
Novel_78,8,9,12,7,0,0,8,0
Novel_77,9,0,0,0,0,0,0,0
Novel_76,0,0,0,0,212,0,0,0
Novel_75,0,4,0,0,0,0,0,0
Novel_74,0,3,4,0,0,0,0,0
Novel_73,0,0,0,95,0,0,0,0
Novel_72,2100,0,0,0,0,0,0,0
Novel_71,0,0,0,7,0,0,0,0
Novel_70,0,9,0,0,0,0,0,0
Novel_7,0,7,0,0,11,0,0,0
Novel_69,0,0,4,0,0,0,0,0
Novel_68,0,0,0,0,0,0,0,2
Novel_67,0,0,0,0,0,0,0,29
Novel_66,0,0,0,0,0,0,11,0
Novel_65,0,3,0,0,0,0,3,0
Novel_64,9,0,16,13,0,0,13,0
Novel_63,0,0,0,0,0,12,0,0
Novel_62,0,0,0,0,0,0,2,0
Novel_61,0,0,0,0,0,3,0,0
Novel_60,0,0,8,0,0,0,0,0
Novel_6,13,0,25,0,0,0,0,0
Novel_59,0,0,0,0,0,0,2,0
Novel_58,0,0,0,0,0,0,12,0
Novel_57,5,0,0,0,0,0,0,0
Novel_56,0,2,0,0,0,0,0,0
Novel_55,0,0,0,0,16,0,0,0
Novel_54,0,2,0,0,0,0,0,0
Novel_53,0,0,0,0,0,8,0,0
Novel_52,0,0,0,0,2,0,0,0
Novel_51,0,0,0,0,13,0,0,0
Novel_50,0,0,0,0,0,0,7,0
Novel_5,0,0,2,0,0,0,0,0
Novel_49,0,0,0,5,0,0,0,0
Novel_48,0,5,0,0,0,0,0,0
Novel_47,0,0,3,0,0,0,0,0
Novel_46,0,0,0,0,0,2,0,0
Novel_45,0,0,6,0,0,0,0,0
Novel_44,0,5,0,0,0,0,0,0
Novel_43,0,0,0,0,0,11,0,0
Novel_42,0,0,0,0,0,0,2,0
Novel_41,0,0,0,0,0,69,0,0
Novel_40,0,0,0,0,0,0,0,9330
Novel_4,0,0,0,0,0,0,12,0
Novel_39,0,0,0,2,0,0,0,0
Novel_38,0,0,0,21,0,0,17,0
Novel_37,26,27,18,16,7,7,11,10
Novel_36,0,9,0,0,0,0,0,0
Novel_35,0,3,0,0,0,0,0,0
Novel_34,0,0,12,0,0,0,0,0
Novel_33,0,0,0,0,0,0,0,6
Novel_32,0,0,10,0,0,0,0,0
Novel_31,0,0,0,0,3,0,0,0
Novel_30,28,36,37,23,19,0,23,15
Novel_3,0,0,0,0,0,6,0,0
Novel_29,0,0,0,2,0,0,0,0
Novel_28,0,0,0,0,0,0,0,17
Novel_27,0,11,0,0,0,0,0,0
Novel_26,14,0,0,0,0,0,0,0
Novel_25,0,0,0,0,11,0,0,0
Novel_24,0,0,0,0,0,0,5,0
Novel_23,2,0,0,0,0,0,0,0
Novel_22,0,0,0,0,0,0,0,2
Novel_21,0,0,5,4,0,0,0,0
Novel_20,11,0,12,0,0,0,0,0
Novel_2,0,0,0,0,0,0,19,0
Novel_19,0,0,8,0,0,0,0,0
Novel_18,0,2,0,0,0,0,0,0
Novel_17,0,14,0,5,16,0,0,0
Novel_16,0,0,0,0,11,0,0,9
Novel_15,3,0,0,0,0,0,0,0
Novel_14,0,0,0,4,0,0,0,0
Novel_13,4,0,0,0,0,0,0,0
Novel_12,0,0,0,0,4,0,0,0
Novel_117,0,0,7,0,11,0,9,0
Novel_116,0,5,0,0,0,0,0,0
Novel_115,0,5,0,0,0,0,0,0
Novel_114,3,0,0,0,0,0,0,0
Novel_113,0,0,0,0,0,0,0,9
Novel_112,11,0,0,0,0,0,0,0
Novel_111,0,0,0,14,0,0,0,0
Novel_110,0,0,12,0,0,0,0,0
Novel_11,0,2,0,0,0,0,0,0
Novel_109,0,0,0,0,0,0,9,0
Novel_108,0,0,0,0,0,0,0,2
Novel_107,2,0,0,0,0,0,0,0
Novel_106,0,4,0,0,0,0,0,0
Novel_105,0,0,3,0,0,0,0,0
Novel_104,0,0,2,0,0,0,0,0
Novel_103,0,0,0,0,13,0,0,0
Novel_102,0,0,0,0,0,7,6,0
Novel_101,0,0,0,0,0,0,0,12
Novel_100,0,0,0,0,0,0,2,0
Novel_10,12,0,0,0,0,0,0,0
Novel_1,13,17,13,0,13,0,10,0
