"","target_id","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2","Trend"
"1002","Ntf3",275.988,280.9289,9.210835,11.86488,189.615181,176.7102003,22.84493088,33.47845282,"DBT"
"1008","Pdzd8",3101.739,2918.278,1561.458,1410.759,2893.485143,2820.246329,1729.463026,1531.613206,"DBT"
"1012","Pip5k1a",3597.963,3628.678,1942.751,1907.826,3537.068666,3684.346328,2195.022013,2208.000223,"DBT"
"1017","Ccnyl1",5496.982147,4956.997334,2494.558685,2452.118483,5307.604703,4538.201057,3365.969539,2842.728677,"DBT"
"1027","Btg3",1596.423649,1567.901149,622.5595328,534.2905994,1534.750406,1579.000957,803.6885526,496.4381956,"DBT"
"1029","Rcl1",1448.856,1336.945,631.8301,667.4448,1051.465726,1051.006252,555.8613727,566.8341086,"DBT"
"1032","Pus7",679.7208,682.2317,281.5695,262.7893,578.422576,598.532835,303.3732755,309.696301,"DBT"
"1033","Trim59",898.4289,892.1734,373.2204,348.952,725.1812119,697.542649,433.9688472,453.4458374,"DBT"
"1035","Dis3",2303.566765,2156.905429,1075.177867,957.482496,1770.608071,1751.550885,1016.83208,1072.321879,"DBT"
"1040","Ncl",4919.388,4562.688,2634.487,2445.74,3892.422258,3754.371855,2358.111592,2491.239734,"DBT"
"1042","Vgf",689.4909,543.7383,11.70091,21.0424,502.9113611,451.8359107,14.79113521,14.28259641,"DBT"
"1043","Lrrc59",12041.23,12276.4,7358.062,7500.992,10737.55039,10830.85242,8605.853804,8996.451342,"DBT"
"1049","Peg10",1445.22,1341.586,617.2575,686.1157,1666.509339,1557.134013,532.7497629,563.5966985,"DBT"
"1050","Bcar1",3489.073296,3733.469687,2071.575869,1927.414556,3747.910804,3690.785178,2768.113034,2679.646162,"DBT"
"1052","Ncam1",5395.008,6471.268,1111.462,869.6812,7562.853814,6335.812719,2814.694471,3068.588728,"DBT"
"1055","Ripor2",554.1654,572.1343,165.0703,192.3049,704.4210234,694.6469667,168.4717414,187.5140892,"DBT"
"1057","Yars",1872.668,1781.324,872.8597,852.2139,1659.95577,1726.996477,835.0509826,899.6088235,"DBT"
"1058","Steap1",602.8687,513.9379,90.01937,114.7579,422.8416098,439.4129113,149.7481099,174.0149854,"DBT"
"1059","Klhdc8a",2442.024,2656.639,1141.371,1257.995,2430.292992,2471.759647,1513.411247,1506.279838,"DBT"
"1061","Zfp697",595.7516,635.4002,169.6651,205.876,577.2287926,581.2138925,256.6723025,202.0836034,"DBT"
"1070","Diaph3",2059.734974,1934.292608,1016.613107,998.631405,1297.440627,1349.449541,1129.879942,1106.936156,"DBT"
"1073","Ctgf",52482.55768,59919.30115,7941.324307,5655.975373,69995.76486,69315.51071,13208.64897,11486.80932,"DBT"
"1079","Zic2",988.6642,1006.358,473.2202,428.1413,1027.699866,1000.118909,884.9575068,892.1929205,"DBT"
"1081","Gm8113",1592.655,1611.043,808.4594,769.9709,1418.878267,1449.408798,754.0836358,865.5463742,"DBT"
"1082","Acot7",2791.278445,2819.52135,1524.264226,1451.187449,2601.849724,2646.954046,2085.773044,1815.91906,"DBT"
"1085","Trim66",542.3636,509.417,12.96493,23.50262,474.9742527,478.4571367,40.19497602,25.6629534,"DBT"
"1086","Msantd3",1116.033,1186.775,519.4461,489.3659,1021.373934,1047.922085,867.7561338,880.3496576,"DBT"
"1088","Fhl2",3011.021143,3089.568375,1580.751606,1400.608409,3558.319103,3415.006281,1931.412657,1846.755725,"DBT"
"1089","Nsun2",1445.469,1379.867,711.5143,766.4586,1175.690405,1183.80474,666.9682786,719.6381982,"DBT"
"1092","Mars",3155.383,3291.705,1780.901,1811.274,2957.907832,2955.277092,1961.329977,2129.82623,"DBT"
"1097","Nolc1",2938.46,2739.801,1560.331,1556.412,2438.190649,2310.15072,1419.23359,1418.815311,"DBT"
"1107","Pmepa1",2847.436,3154.225,667.4138,512.2976,3311.11568,2971.126142,1212.858657,859.9755786,"DBT"
"1108","Mak16",680.9963,613.1212,280.2558,251.3537,609.0532328,604.1859961,243.9698548,252.9020938,"DBT"
"1112","Bysl",2513.06514,2697.992807,1354.637399,1434.724749,2342.217672,2443.974597,1565.94398,1584.886432,"DBT"
"1121","Ank2",1237.607576,1328.506341,547.5032483,547.9198455,1144.442032,1134.6402,645.2414118,596.519698,"DBT"
"1123","Atic",5916.595267,5816.992166,3498.033222,3482.843945,4741.153821,4949.906375,3515.527848,3745.331731,"DBT"
"1130","Pum3",3535.856,3360.092,1936.228,1945.945,3214.891521,3218.627125,1898.319027,2073.113947,"DBT"
"1134","Akap2",10238.77503,10592.61129,5414.418429,4801.573689,11606.85626,11921.95867,8383.411324,7485.773682,"DBT"
"1135","Tagln",44381.05,50570.14,14139.63,11733.26,51558.74269,51356.40112,26757.19735,33236.71638,"DBT"
"1142","Plod3",10856.62,11194.17,6104.957,6546.682,10857.15107,10944.97231,9113.330522,9255.51679,"DBT"
"1151","Phldb1",4941.785,5156.859,2707.526,2424.256,5340.961674,5339.031537,3435.01586,3046.292957,"DBT"
"1152","Me1",4534.27,4612.944,2571.18,2475.559,5062.287028,5045.629778,4866.000173,5005.50477,"DBT"
"1161","Qsox1",12928.82,13499.91,8366.776,7925.309,15394.19312,15504.71534,14404.02031,15714.03951,"DBT"
"1163","Cdr2",2638.796423,2674.636036,1527.210897,1382.451282,2580.477538,2626.499198,2300.029734,2398.649823,"DBT"
"1170","Plat",2378.145,2196.431,1257.248,1231.714,2012.047286,1993.245192,1229.283448,1097.6259,"DBT"
"1173","Ncor2",13567.8,14126.08,7863.094,8517.794,13806.28534,13172.52234,8657.017275,7632.352411,"DBT"
"1179","Nupl1",2897.741,2715.849,1484.07,1612.66,2620.437884,2630.540228,1774.308599,1761.4943,"DBT"
