ID,D0PF1,D0PF2,D7PF1,D7PF2
mmu-miR-669e-5p,88,52,45,46
mmu-miR-669e-3p,24,7,18,8
mmu-miR-669d-5p,510,296,246,147
mmu-miR-669d-3p,4,4,4,2
mmu-miR-669d-2-3p,4,4,4,2
mmu-miR-669c-5p,649,511,774,703
mmu-miR-669c-3p,15,4,9,4
mmu-miR-669b-5p,248,157,179,106
mmu-miR-669b-3p,31,16,18,3
mmu-miR-669a-5p,626,441,488,273
mmu-miR-669a-3p,1766,771,1329,766
mmu-miR-669a-3-3p,30,17,37,11
mmu-miR-668-5p,12,15,6,7
mmu-miR-668-3p,1032,858,863,570
mmu-miR-667-5p,427,379,275,180
mmu-miR-667-3p,2212,1801,1596,938
mmu-miR-666-5p,1598,1548,1059,694
mmu-miR-666-3p,32,39,41,25
mmu-miR-665-5p,96,86,76,52
mmu-miR-665-3p,4992,6867,3478,2248
mmu-miR-664-5p,238,142,237,140
mmu-miR-664-3p,889,437,652,455
mmu-miR-6546-5p,30,22,3,4
mmu-miR-6546-3p,20,12,6,2
mmu-miR-6540-5p,72,58,23,12
mmu-miR-6540-3p,13,9,5,2
mmu-miR-654-3p,0,0,0,0
mmu-miR-6539,389,346,68,71
mmu-miR-6538,1,3,2,4
mmu-miR-6537-5p,0,0,1,0
mmu-miR-6537-3p,0,2,3,3
mmu-miR-653-5p,30,7,0,0
mmu-miR-653-3p,0,0,0,0
mmu-miR-652-5p,170,135,269,144
mmu-miR-652-3p,2681,1694,3518,2084
mmu-miR-6516-5p,156,82,81,41
mmu-miR-6516-3p,25,32,15,5
mmu-miR-6481,0,1,1,0
mmu-miR-6418-5p,1,0,0,0
mmu-miR-6418-3p,0,0,1,0
mmu-miR-6412,16,7,14,8
mmu-miR-6399,21,15,6,6
mmu-miR-6395,3,1,0,0
mmu-miR-6392-5p,0,0,0,0
mmu-miR-6390,0,0,0,3
mmu-miR-6380,1,0,1,0
mmu-miR-6240,39,32,77,40
mmu-miR-615-5p,0,0,0,0
mmu-miR-615-3p,17,15,8,13
mmu-miR-598-5p,2,2,1,0
mmu-miR-598-3p,788,466,747,665
mmu-miR-592-5p,23,26,10,6
mmu-miR-592-3p,2,2,0,0
mmu-miR-582-5p,116,80,58,31
mmu-miR-582-3p,143,83,114,56
mmu-miR-574-5p,4310,3452,7453,4809
