"target_symbol","target_entrez","target_ensembl"
"Pcdhga8","93716","ENSMUSG00000103897"
"Itga3","16400","ENSMUSG00000001507"
"C1qbp","12261","ENSMUSG00000018446"
"Odc1","18263","ENSMUSG00000011179"
"Ryk","20187","ENSMUSG00000032547"
"Hspd1","15510","ENSMUSG00000025980"
"Lox","16948","ENSMUSG00000024529"
"S100a6","20200","ENSMUSG00000001025"
"Plod3","26433","ENSMUSG00000004846"
"Cxcl14","57266","ENSMUSG00000021508"
"Rpl12","269261","ENSMUSG00000038900"
"Tpm4","326618","ENSMUSG00000031799"
"Hbs1l","56422","ENSMUSG00000019977"
"Timp1","21857","ENSMUSG00000001131"
"AW209491","105351","ENSMUSG00000039182"
"Serbp1","66870","ENSMUSG00000036371"
"Tiam2","24001","ENSMUSG00000023800"
"Tcea1","21399","ENSMUSG00000033813"
"Eda2r","245527","ENSMUSG00000034457"
"Tnfrsf12a","27279","ENSMUSG00000023905"
"Myef2","17876","ENSMUSG00000027201"
"Aen","68048","ENSMUSG00000030609"
"Rabggtb","19352","ENSMUSG00000038975"
"Mthfd1l","270685","ENSMUSG00000040675"
"Psrc1","56742","ENSMUSG00000068744"
"Cdr2","12585","ENSMUSG00000030878"
"Col5a2","12832","ENSMUSG00000026042"
"Fscn1","14086","ENSMUSG00000029581"
"Nqo1","18104","ENSMUSG00000003849"
"Tnfrsf11b","18383","ENSMUSG00000063727"
"Pla2g4a","18783","ENSMUSG00000056220"
"Hsp90aa1","15519","ENSMUSG00000021270"
"Ptprf","19268","ENSMUSG00000033295"
"Eif1","20918","ENSMUSG00000035530"
"Uchl1","22223","ENSMUSG00000029223"
"Phlda3","27280","ENSMUSG00000041801"
"Timm8a1","30058","ENSMUSG00000048007"
"Nop58","55989","ENSMUSG00000026020"
"Aldh18a1","56454","ENSMUSG00000025007"
"Hnrnph1","59013","ENSMUSG00000007850"
"Rras2","66922","ENSMUSG00000055723"
"Srfbp1","67222","ENSMUSG00000024528"
"Rrp15","67223","ENSMUSG00000001305"
"Ppa1","67895","ENSMUSG00000020089"
"Rps27l","67941","ENSMUSG00000036781"
"Chac1","69065","ENSMUSG00000027313"
"Vgll3","73569","ENSMUSG00000091243"
"Prss23","76453","ENSMUSG00000039405"
"Psph","100678","ENSMUSG00000029446"
"Nomo1","211548","ENSMUSG00000030835"
"Cd109","235505","ENSMUSG00000046186"
"Grwd1","101612","ENSMUSG00000053801"
"Gprc5a","232431","ENSMUSG00000046733"
"Gpr176","381413","ENSMUSG00000040133"
"Atf4","11911","ENSMUSG00000042406"
"Phgdh","236539","ENSMUSG00000053398"
"Steap1","70358","ENSMUSG00000015652"
"Asns","27053","ENSMUSG00000029752"
"Pum3","52874","ENSMUSG00000041360"
"Tarbp1","212728","ENSMUSG00000090290"
"Srf","20807","ENSMUSG00000015605"
"Fam131b","76156","ENSMUSG00000029861"
"Klhdc8a","213417","ENSMUSG00000042115"
"Tead1","21676","ENSMUSG00000055320"
"Rrs1","59014","ENSMUSG00000061024"
"Trim59","66949","ENSMUSG00000034317"
"Mta1","116870","ENSMUSG00000021144"
"Wwc2","52357","ENSMUSG00000031563"
"Tmcc2","68875","ENSMUSG00000042066"
"Nop2","110109","ENSMUSG00000038279"
"Ass1","11898","ENSMUSG00000076441"
"Tgfb3","21809","ENSMUSG00000021253"
"Klf5","12224","ENSMUSG00000005148"
"Ldlrad4","52662","ENSMUSG00000024544"
"Pdlim7","67399","ENSMUSG00000021493"
"S100a4","20198","ENSMUSG00000001020"
"Pdgfc","54635","ENSMUSG00000028019"
"Ttll7","70892","ENSMUSG00000036745"
"Bmper","73230","ENSMUSG00000031963"
"Pck2","74551","ENSMUSG00000040618"
"Sesn2","230784","ENSMUSG00000028893"
"Erfe","227358","ENSMUSG00000047443"
"Cdc42ep3","260409","ENSMUSG00000036533"
"Lyar","17089","ENSMUSG00000067367"
"Kansl2","69612","ENSMUSG00000022992"
"Rin1","225870","ENSMUSG00000024883"
"Igfbp7","29817","ENSMUSG00000036256"
"Parm1","231440","ENSMUSG00000034981"
"Lrrc3","237387","ENSMUSG00000051652"
"Tsku","244152","ENSMUSG00000049580"
"Eif2b3","108067","ENSMUSG00000028683"
"Cdv3","321022","ENSMUSG00000032803"
"Loxl4","67573","ENSMUSG00000025185"
"Otub2","68149","ENSMUSG00000021203"
"Rassf1","56289","ENSMUSG00000010067"
"Gjb2","14619","ENSMUSG00000046352"
"Gnpnat1","54342","ENSMUSG00000037722"
"Rcl1","59028","ENSMUSG00000024785"
"Ftsj3","56095","ENSMUSG00000020706"
"Polr2l","66491","ENSMUSG00000038489"
"Tubb6","67951","ENSMUSG00000001473"
"Syde1","71709","ENSMUSG00000032714"
"Otud6b","72201","ENSMUSG00000040550"
"Wdr43","72515","ENSMUSG00000041057"
"Rgs4","19736","ENSMUSG00000038530"
"Mak16","67920","ENSMUSG00000031578"
"Arxes2","76976","ENSMUSG00000048040"
"Elovl4","83603","ENSMUSG00000032262"
"Slc6a9","14664","ENSMUSG00000028542"
"Ppan","235036","ENSMUSG00000004100"
"Fhl2","14200","ENSMUSG00000008136"
"Myo19","66196","ENSMUSG00000020527"
"Msantd3","66665","ENSMUSG00000039693"
"Crlf1","12931","ENSMUSG00000007888"
"Ereg","13874","ENSMUSG00000029377"
"Gadd45b","17873","ENSMUSG00000015312"
"Gdnf","14573","ENSMUSG00000022144"
"Adpgk","72141","ENSMUSG00000025236"
"Jph2","59091","ENSMUSG00000017817"
"Ankrd1","107765","ENSMUSG00000024803"
"Anxa8","11752","ENSMUSG00000021950"
"Pabpc4","230721","ENSMUSG00000011257"
"Ptk7","71461","ENSMUSG00000023972"
"Tnn","329278","ENSMUSG00000026725"
"Crispld2","78892","ENSMUSG00000031825"
"Atf5","107503","ENSMUSG00000038539"
