"","target_id","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2","Trend"
"430","P2ry6",27.55609,31.28618,629.025,921.1287,10.87027801,9.860543921,131.7422302,206.8123424,"UBT"
"431","Glb1",2336.430255,2328.167064,5586.51345,6269.249443,2430.349498,2287.24057,4851.222013,4600.507192,"UBT"
"432","Gba",2821.684003,2922.934862,5848.353115,6374.889805,3404.942734,3228.329213,5213.754827,5423.059733,"UBT"
"433","Cybrd1",92.79368004,102.7054828,569.9602249,572.2889328,87.27330811,76.81705299,382.034592,470.3734319,"UBT"
"438","Mettl7a1",429.6236,446.6067,1330.467,1437.416,443.6481779,393.7807067,1175.699243,1208.612764,"UBT"
"439","Tgm2",50.90712,55.52321,434.2035,419.1727,112.054874,94.84314,119.2988834,145.8485356,"UBT"
"441","Mgst3",281.3226,293.2653,1183.266,1421.012,284.3648012,254.2011604,779.2547168,947.8901853,"UBT"
"444","Colec12",5211.235152,4761.952111,13694.66348,15086.61983,4424.491557,4225.970979,10700.99487,8894.648402,"UBT"
"445","Adamts2",567.3836553,487.5897801,1938.99139,1842.918683,267.4877739,260.3625726,1846.221114,1517.564084,"UBT"
"446","Ssfa2",1989.146,1905.039,4174.869,4370.674,1809.431546,1789.634511,2980.177167,2733.963414,"UBT"
"447","Lgr5",127.1609,123.8086,3256.145,2222.717,112.7342565,102.2344664,3654.219088,3545.321024,"UBT"
"448","Gpm6b",265.883,294.889,1083.116,956.999,224.6671995,250.9322062,586.2706186,491.8414478,"UBT"
"450","Ikzf1",10.59238,13.31561,323.7004,470.0851,3.662344847,4.162928599,70.55018962,110.3992801,"UBT"
"451","Tm6sf1",226.8705,199.8484,1991.008,2604.905,128.5094983,134.7190233,526.037302,742.0019218,"UBT"
"453","Havcr2",153.9075,156.0366,994.5295,1274.822,111.9558585,84.97819213,223.4729033,312.3900991,"UBT"
"454","Sord",737.91,717.8292,3265.588,3985.074,597.0683627,627.6457742,2979.512087,3655.393888,"UBT"
