"","X","target_id","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2","Trend"
"1538",4412,"Zdhhc21",326.1214,317.1279,197.1462,176.1459,281.8103415,271.3723834,190.3725164,183.9244187,"DBT"
"1540",4416,"Bag1",5735.525722,5907.339997,4521.977447,4700.760988,5183.777155,5277.425642,4319.716848,4640.640404,"DBT"
"1545",4424,"Nle1",312.7992,299.3101,171.9617,176.9918,259.0943549,274.6895606,180.5972973,196.0634353,"DBT"
"1546",4425,"Grpr",16.41754,19.16774,0,1.025261,10.80350847,10.16808529,2.097595722,0,"DBT"
"1547",4426,"Klhl21",1575.724,1731.586,1084.759,1204.727,2044.006067,1920.462223,1178.312326,1069.30445,"DBT"
"1548",4427,"Uhrf1bp1l",1340.051,1194.436,694.5853,816.8484,1314.617117,1365.937259,557.5552647,652.9831265,"DBT"
"1549",4431,"Cdk17",388.4514351,344.9297503,242.6213354,216.1241491,336.0908797,338.0485225,229.2792743,217.7433252,"DBT"
"1550",4434,"Wif1",121.918,106.7126,24.83229,40.05829,68.32284922,71.61752414,29.59906029,27.16659062,"DBT"
"1551",4435,"Ecm1",3678.230702,3994.149243,2212.79708,2597.317873,2971.856638,2919.452134,1905.476627,1766.501957,"DBT"
"1552",4439,"Rnf217",893.4014,816.5427,468.7772,358.8413,839.4136229,806.0487704,584.1788388,507.7229166,"DBT"
"1553",4443,"Trmt10c",709.1486,645.9504,460.851,450.0895,606.840349,567.5618636,400.6397063,359.9449367,"DBT"
"1555",4445,"Lef1",43.48661,51.47052,4.061035,5.170374,56.64535218,60.05275636,5.294840909,6.044320804,"DBT"
"1558",4459,"Pwp1",560.5413,586.9109,378.0108,398.0127,482.4684445,518.5781386,374.4950466,395.7173157,"DBT"
"1559",4461,"Rpl22",11799.65,11682.79,9795.83,9082.782,10997.27897,11160.45432,8596.949325,9734.371906,"DBT"
"1560",4467,"Jak1",1135.314,1055.296,815.2253,826.4408,1020.72734,1005.541657,789.3075977,747.5729071,"DBT"
"1562",4472,"Ythdf1",2557.774,2402.135,1830.383,1814.148,2356.720251,2310.893115,1814.134957,1731.759952,"DBT"
"1563",4473,"Nat10",699.901,648.9976,413.1318,447.5959,592.0787956,617.7977191,411.3226088,416.2355843,"DBT"
"1564",4475,"Rbm15",977.0066,996.7455,664.8167,746.1237,909.1895239,851.366594,570.4513033,510.5985949,"DBT"
"1565",4482,"Tmem132e",79.36298,74.38488,12.79263,5.220704,96.96867856,81.09056107,9.173339458,9.022322789,"DBT"
"1566",4484,"Shroom3",126.0462,120.809,40.99902,56.41624,198.9883839,179.9689945,136.9112719,124.7395567,"DBT"
"1567",4486,"Apold1",123.9731199,113.5912764,48.68941648,37.7982191,167.0485572,156.5908472,51.34144186,39.99546365,"DBT"
"1568",4487,"Kpna1",349.7433,340.3643,213.2859,236.5732,329.4950636,316.1263125,214.7902154,213.9442908,"DBT"
"1569",4492,"Nbeal1",340.7015,320.6589,210.7362,206.1583,356.2446525,357.2751913,269.8086704,244.1751604,"DBT"
"1571",4500,"Tut1",1241.235,1151.018,798.28,893.0022,1180.455945,1099.997749,758.2788159,763.1677105,"DBT"
"1572",4502,"Cpne1",1150.082838,1129.935286,848.2452522,827.6932891,1049.280764,1091.808414,968.9023624,929.2897865,"DBT"
"1573",4504,"Fzd10",17.97588249,27.79311911,1.132312011,0,30.29315752,33.27724282,6.292770257,6.333341996,"DBT"
