"target_symbol","target_entrez","target_ensembl"
"Fat2","245827","ENSMUSG00000055333"
"Robo2","268902","ENSMUSG00000052516"
"Zhx3","320799","ENSMUSG00000035877"
"Prune2","353211","ENSMUSG00000039126"
"Lrch1","380916","ENSMUSG00000068015"
"Taok2","381921","ENSMUSG00000059981"
"Rnf213","672511","ENSMUSG00000070327"
"Pdp2","382051","ENSMUSG00000048371"
"Morf4l1","21761","ENSMUSG00000062270"
"Il10rb","16155","ENSMUSG00000022969"
"Timp2","21858","ENSMUSG00000017466"
"Tceal1","237052","ENSMUSG00000049536"
"Ppp1r3b","244416","ENSMUSG00000046794"
"Dio2","13371","ENSMUSG00000007682"
"Selenop","20363","ENSMUSG00000064373"
"Shtn1","71653","ENSMUSG00000041362"
"Retreg2","227298","ENSMUSG00000049339"
"Retreg3","67998","ENSMUSG00000017802"
"Mindy2","235461","ENSMUSG00000042444"
"Abcg1","11307","ENSMUSG00000024030"
"Atp6v1b2","11966","ENSMUSG00000006273"
"Atp8a1","11980","ENSMUSG00000037685"
"Cox5b","12859","ENSMUSG00000061518"
"Fkbp1b","14226","ENSMUSG00000020635"
"Gtf2i","14886","ENSMUSG00000060261"
"Igfbp3","16009","ENSMUSG00000020427"
"Itga6","16403","ENSMUSG00000027111"
"Kif21b","16565","ENSMUSG00000041642"
"Ldhb","16832","ENSMUSG00000030246"
"Tm4sf1","17112","ENSMUSG00000027800"
"Rab11b","19326","ENSMUSG00000077450"
"Robo1","19876","ENSMUSG00000022883"
"Sema5a","20356","ENSMUSG00000022231"
"Sntb2","20650","ENSMUSG00000041308"
"Stat1","20846","ENSMUSG00000026104"
"Tef","21685","ENSMUSG00000022389"
"Zfp41","22701","ENSMUSG00000047003"
"Adam23","23792","ENSMUSG00000025964"
"Jtb","23922","ENSMUSG00000027937"
"Sgcb","24051","ENSMUSG00000029156"
"B3galnt1","26879","ENSMUSG00000043300"
"Pde7b","29863","ENSMUSG00000019990"
"Fbxo8","50753","ENSMUSG00000038206"
"Ncald","52589","ENSMUSG00000051359"
"Arl6ip1","54208","ENSMUSG00000030654"
"B4galt6","56386","ENSMUSG00000056124"
"Scamp5","56807","ENSMUSG00000040722"
"Tnip1","57783","ENSMUSG00000020400"
"Slc35b4","58246","ENSMUSG00000018999"
"Gmpr","66355","ENSMUSG00000000253"
"Smarca2","67155","ENSMUSG00000024921"
"Tbc1d23","67581","ENSMUSG00000022749"
"Gpr155","68526","ENSMUSG00000041762"
"Atp6ap2","70495","ENSMUSG00000031007"
"Rnf167","70510","ENSMUSG00000040746"
"Rin2","74030","ENSMUSG00000001768"
"Gpcpd1","74182","ENSMUSG00000027346"
"Ubap2l","74383","ENSMUSG00000042520"
"Ttyh3","78339","ENSMUSG00000036565"
"Enpp5","83965","ENSMUSG00000023960"
"Slc24a3","94249","ENSMUSG00000063873"
"Etv5","104156","ENSMUSG00000013089"
"Reps2","194590","ENSMUSG00000040855"
"Camkk2","207565","ENSMUSG00000029471"
"Cblb","208650","ENSMUSG00000022637"
"Slc35f1","215085","ENSMUSG00000038602"
"Nhsl1","215819","ENSMUSG00000039835"
"Hlf","217082","ENSMUSG00000003949"
"Trib2","217410","ENSMUSG00000020601"
"Zfp521","225207","ENSMUSG00000024420"
"Sh3rf3","237353","ENSMUSG00000037990"
"Dock4","238130","ENSMUSG00000035954"
"Shank1","243961","ENSMUSG00000038738"
"Atraid","381629","ENSMUSG00000013622"
"Map3k12","26404","ENSMUSG00000023050"
"Acadm","11364","ENSMUSG00000062908"
"Pomgnt2","215494","ENSMUSG00000066235"
"Aoc3","11754","ENSMUSG00000019326"
"Trp63","22061","ENSMUSG00000022510"
"TGFBR2","7048","ENSG00000163513"
"Milr1","380732","ENSMUSG00000040528"
"Gstm1","14862","ENSMUSG00000058135"
"Ikzf1","22778","ENSMUSG00000018654"
"Clic5","224796","ENSMUSG00000023959"
"Rgs7bp","52882","ENSMUSG00000021719"
"Paip2","67869","ENSMUSG00000037058"
"Tnfsf10","22035","ENSMUSG00000039304"
"Cdh4","12561","ENSMUSG00000000305"
"Hdac3","15183","ENSMUSG00000024454"
"Ncam2","17968","ENSMUSG00000022762"
"Xylt2","217119","ENSMUSG00000020868"
"Tagap","72536","ENSMUSG00000033450"
"Tll1","21892","ENSMUSG00000053626"
"Ncf1","17969","ENSMUSG00000015950"
"Cysltr1","58861","ENSMUSG00000052821"
"Zfp36l1","12192","ENSMUSG00000021127"
"Ly6e","17069","ENSMUSG00000022587"
"Kcnk6","52150","ENSMUSG00000046410"
"Inpp5e","64436","ENSMUSG00000026925"
"Zfp282","101095","ENSMUSG00000025821"
"Egln2","112406","ENSMUSG00000058709"
"Ctsa","19025","ENSMUSG00000017760"
"Spag7","216873","ENSMUSG00000018287"
"Aco1","11428","ENSMUSG00000028405"
"Apod","11815","ENSMUSG00000022548"
"Igf1","16000","ENSMUSG00000020053"
"IRF2","3660","ENSG00000168310"
"Cdkn1b","12576","ENSMUSG00000003031"
"Irs1","16367","ENSMUSG00000055980"
"Gabpb2","213054","ENSMUSG00000038766"
"Fgl2","14190","ENSMUSG00000039899"
"2310030G06Rik","66952","ENSMUSG00000032062"
"Ehd4","98878","ENSMUSG00000027293"
"Nqo2","18105","ENSMUSG00000046949"
"Nectin4","71740","ENSMUSG00000006411"
"Naaa","67111","ENSMUSG00000029413"
"Mitf","17342","ENSMUSG00000035158"
"TDRD7","23424","ENSG00000196116"
"Casp7","12369","ENSMUSG00000025076"
"Gfra2","14586","ENSMUSG00000022103"
"Itga4","16401","ENSMUSG00000027009"
"Hnrnpul2","68693","ENSMUSG00000071659"
"Dck","13178","ENSMUSG00000029366"
"Col24a1","71355","ENSMUSG00000028197"
"Ntrk2","18212","ENSMUSG00000055254"
"Hopx","74318","ENSMUSG00000059325"
"H2-D1","14964","ENSMUSG00000073411"
"Clmn","94040","ENSMUSG00000021097"
"Adamts9","101401","ENSMUSG00000030022"
"Gpd1l","333433","ENSMUSG00000050627"
"DPYSL2","1808","ENSG00000092964"
"Sub1","20024","ENSMUSG00000022205"
"Pi15","94227","ENSMUSG00000067780"
"Calm1","12313","ENSMUSG00000001175"
"Reep5","13476","ENSMUSG00000005873"
"Id2","15902","ENSMUSG00000020644"
"Klf12","16597","ENSMUSG00000072294"
"Ndnf","68169","ENSMUSG00000049001"
"Zer1","227693","ENSMUSG00000039686"
"Zmynd8","228880","ENSMUSG00000039671"
"Lzts3","241638","ENSMUSG00000037703"
"Ism1","319909","ENSMUSG00000074766"
"Slc8a1","20541","ENSMUSG00000054640"
"Rnf166","68718","ENSMUSG00000014470"
"Pm20d2","242377","ENSMUSG00000054659"
"Ceacam1","26365","ENSMUSG00000074272"
"Pcsk5","18552","ENSMUSG00000024713"
"Plau","18792","ENSMUSG00000021822"
"Nck2","17974","ENSMUSG00000066877"
"Sort1","20661","ENSMUSG00000068747"
"Erlec1","66753","ENSMUSG00000020311"
"Hexim1","192231","ENSMUSG00000048878"
"Steap3","68428","ENSMUSG00000026389"
"Klhl24","75785","ENSMUSG00000062901"
"Wwp1","107568","ENSMUSG00000041058"
"Gas2l3","237436","ENSMUSG00000074802"
"Marcks","17118","ENSMUSG00000069662"
"Ncf2","17970","ENSMUSG00000026480"
"Spta1","20739","ENSMUSG00000026532"
"Decr1","67460","ENSMUSG00000028223"
"Pcdhb5","93876","ENSMUSG00000063687"
"Ppip5k1","327655","ENSMUSG00000033526"
"Tmem241","338363","ENSMUSG00000049411"
"Hyal1","15586","ENSMUSG00000010051"
"Ifngr2","15980","ENSMUSG00000022965"
"Ogdh","18293","ENSMUSG00000020456"
"Abcd4","19300","ENSMUSG00000021240"
"Gprc5c","70355","ENSMUSG00000051043"
"Asap3","230837","ENSMUSG00000036995"
"Pdxdc1","94184","ENSMUSG00000022680"
"Casp8","12370","ENSMUSG00000026029"
"Rhobtb1","69288","ENSMUSG00000019944"
"Med16","216154","ENSMUSG00000013833"
"Ccdc167","68597","ENSMUSG00000024018"
"Hltf","20585","ENSMUSG00000002428"
"Timm17b","21855","ENSMUSG00000031158"
"Gla","11605","ENSMUSG00000031266"
"Tet1","52463","ENSMUSG00000047146"
"Sfxn2","94279","ENSMUSG00000025036"
"Cd300a","217303","ENSMUSG00000034652"
"Ptpn7","320139","ENSMUSG00000031506"
"Glt28d2","320302","ENSMUSG00000031286"
"Mfsd11","69900","ENSMUSG00000020818"
"Mpv17","17527","ENSMUSG00000107283"
"Eef2kmt","70511","ENSMUSG00000022544"
"Rp2","19889","ENSMUSG00000060090"
"Camk4","12326","ENSMUSG00000038128"
"Cmtm3","68119","ENSMUSG00000031875"
"Tbc1d24","224617","ENSMUSG00000036473"
"A830018L16Rik","320492","ENSMUSG00000057715"
"S1pr3","13610","ENSMUSG00000067586"
"Abcd2","26874","ENSMUSG00000055782"
"Zfp316","54201","ENSMUSG00000046658"
"Hpgds","54486","ENSMUSG00000029919"
