"","database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","support_type","pubmed_id","type","score","disease_drug","paper_pubmedID"
"119","mirtarbase","MIMAT0000237","mmu-miR-204-5p","Sox11","20666","ENSMUSG00000063632","CHIP//Immunofluorescence//In situ hybridization//Luciferase reporter assay//QRTPCR","","23516376","validated",NA,NA,NA
"120","mirtarbase","MIMAT0000237","mmu-miR-204-5p","Eif5a","276770","ENSMUSG00000078812","HITS-CLIP","","21258322","validated",NA,NA,NA
"121","mirtarbase","MIMAT0000225","mmu-miR-195a-5p","Ccnd2","12444","ENSMUSG00000000184","Luciferase reporter assay","Functional MTI","26567220","validated",NA,NA,NA
"122","mirtarbase","MIMAT0000225","mmu-miR-195a-5p","Bcl11b","58208","ENSMUSG00000048251","HITS-CLIP","","21258322","validated",NA,NA,NA
"123","mirtarbase","MIMAT0000225","mmu-miR-195a-5p","Ncl","17975","ENSMUSG00000026234","HITS-CLIP","","21258322","validated",NA,NA,NA
"124","mirtarbase","MIMAT0004651","mmu-miR-340-5p","Slc7a1","11987","ENSMUSG00000041313","Sequencing","","19536157","validated",NA,NA,NA
"125","mirtarbase","MIMAT0004651","mmu-miR-340-5p","Utrn","22288","ENSMUSG00000019820","Sequencing","","19536157","validated",NA,NA,NA
"126","mirtarbase","MIMAT0004651","mmu-miR-340-5p","Cav1","12389","ENSMUSG00000007655","Sequencing","","19536157","validated",NA,NA,NA
"127","mirtarbase","MIMAT0004651","mmu-miR-340-5p","Enc1","13803","ENSMUSG00000041773","Sequencing","","19536157","validated",NA,NA,NA
"128","mirtarbase","MIMAT0004651","mmu-miR-340-5p","Hbegf","15200","ENSMUSG00000024486","Sequencing","","19536157","validated",NA,NA,NA
"129","mirtarbase","MIMAT0004651","mmu-miR-340-5p","Plat","18791","ENSMUSG00000031538","Sequencing","","19536157","validated",NA,NA,NA
"130","mirtarbase","MIMAT0004651","mmu-miR-340-5p","Skil","20482","ENSMUSG00000027660","Sequencing","","19536157","validated",NA,NA,NA
"131","mirtarbase","MIMAT0004651","mmu-miR-340-5p","Sox11","20666","ENSMUSG00000063632","Sequencing","","19536157","validated",NA,NA,NA
"132","mirtarbase","MIMAT0004651","mmu-miR-340-5p","Tgif1","21815","ENSMUSG00000047407","Sequencing","","19536157","validated",NA,NA,NA
"133","mirtarbase","MIMAT0004651","mmu-miR-340-5p","Ugcg","22234","ENSMUSG00000028381","Sequencing","","19536157","validated",NA,NA,NA
"134","mirtarbase","MIMAT0004651","mmu-miR-340-5p","Grem2","23893","ENSMUSG00000050069","Sequencing","","19536157","validated",NA,NA,NA
"135","mirtarbase","MIMAT0004651","mmu-miR-340-5p","Dlc1","50768","ENSMUSG00000031523","Sequencing","","19536157","validated",NA,NA,NA
"136","mirtarbase","MIMAT0004651","mmu-miR-340-5p","Fubp1","51886","ENSMUSG00000028034","Sequencing","","19536157","validated",NA,NA,NA
"137","mirtarbase","MIMAT0004651","mmu-miR-340-5p","Tmeff2","56363","ENSMUSG00000026109","Sequencing","","19536157","validated",NA,NA,NA
