"","database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","support_type","pubmed_id","type","score","disease_drug","paper_pubmedID"
"92","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Adam17","11491","ENSMUSG00000052593","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"93","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Anxa4","11746","ENSMUSG00000029994","Microarray","","18619591","validated",NA,NA,NA
"94","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Anxa4","11746","ENSMUSG00000029994","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"95","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Anxa5","11747","ENSMUSG00000027712","Microarray","","18619591","validated",NA,NA,NA
"96","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Anxa5","11747","ENSMUSG00000027712","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"97","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Arpc1b","11867","ENSMUSG00000029622","Microarray","","18619591","validated",NA,NA,NA
"98","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Arpc1b","11867","ENSMUSG00000029622","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"99","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Atp6v0e","11974","ENSMUSG00000015575","Microarray","","18619591","validated",NA,NA,NA
"100","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Atp6v0e","11974","ENSMUSG00000015575","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"101","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Atp7a","11977","ENSMUSG00000033792","Microarray","","18619591","validated",NA,NA,NA
"102","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Atp7a","11977","ENSMUSG00000033792","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"103","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Bckdha","12039","ENSMUSG00000060376","Microarray","","18619591","validated",NA,NA,NA
"104","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Bckdha","12039","ENSMUSG00000060376","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"105","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Bcl2l11","12125","ENSMUSG00000027381","qRT-PCR","","32319662","validated",NA,NA,NA
"106","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Capn6","12338","ENSMUSG00000067276","Microarray","","18619591","validated",NA,NA,NA
"107","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Capn6","12338","ENSMUSG00000067276","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"108","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Cebpa","12606","ENSMUSG00000034957","Luciferase reporter assay//Microarray//qRT-PCR//Western blot//Other","","21131957","validated",NA,NA,NA
"109","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Cebpa","12606","ENSMUSG00000034957","Luciferase reporter assay//Microarray//qRT-PCR//Western blot//Other","","18042700","validated",NA,NA,NA
"110","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Cebpa","12606","ENSMUSG00000034957","Luciferase reporter assay//Microarray//qRT-PCR","Functional MTI","18042700","validated",NA,NA,NA
"111","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Cebpa","12606","ENSMUSG00000034957","Luciferase reporter assay//qRT-PCR//Western blot","Functional MTI","21131957","validated",NA,NA,NA
"112","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Coro1a","12721","ENSMUSG00000030707","Microarray","","18619591","validated",NA,NA,NA
"113","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Coro1a","12721","ENSMUSG00000030707","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"114","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Col18a1","12822","ENSMUSG00000001435","Microarray","","18619591","validated",NA,NA,NA
"115","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Col18a1","12822","ENSMUSG00000001435","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"116","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Crat","12908","ENSMUSG00000026853","Microarray","","18619591","validated",NA,NA,NA
"117","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Crat","12908","ENSMUSG00000026853","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"118","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Dab2","13132","ENSMUSG00000022150","Microarray","","18619591","validated",NA,NA,NA
"119","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Dab2","13132","ENSMUSG00000022150","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"120","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Dclk1","13175","ENSMUSG00000027797","Microarray","","18619591","validated",NA,NA,NA
"121","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Dclk1","13175","ENSMUSG00000027797","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"122","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Eci1","13177","ENSMUSG00000024132","Microarray","","18619591","validated",NA,NA,NA
"123","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Eci1","13177","ENSMUSG00000024132","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"124","mirtarbase","MIMAT0000134","mmu-miR-124-3p","E2f1","13555","ENSMUSG00000027490","Microarray","","18619591","validated",NA,NA,NA
"125","mirtarbase","MIMAT0000134","mmu-miR-124-3p","E2f1","13555","ENSMUSG00000027490","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
