"","X","target_id","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2","Trend"
"165",245,"Lair1",21.36024,16.7037,831.3333,1038.323,13.14764744,8.300653488,130.1443845,206.3841812,"UBT"
"166",246,"Gas6",10137.49893,11857.11964,73068.09409,83265.53396,18694.78698,18229.45849,57331.33222,52719.79433,"UBT"
"167",247,"Tnfsf12",156.9117,158.5181,1003.296,1206.371,126.9682955,117.1259463,508.3132456,474.2589749,"UBT"
"168",248,"Clec12a",50.66053463,64.16678384,1211.627009,1527.182907,17.00053439,18.31938011,284.8859287,412.0406316,"UBT"
"169",249,"Cadm1",65.04256562,61.05845083,1292.124332,1788.513108,69.10791238,52.59677341,357.7437104,406.0762401,"UBT"
"170",250,"Rasgef1b",48.57562,45.54032,742.7424,892.6188,39.02979248,29.89007203,168.9585886,246.4877385,"UBT"
"171",252,"Kcns1",22.46985,16.29252,715.6212,761.7688,18.56677396,19.41172498,452.0306634,472.8895357,"UBT"
"172",254,"Psme1",778.3238,748.3096,2264.764,2147.696,770.597517,815.1216935,1750.978244,1778.830507,"UBT"
"173",255,"Psmb9",19.71241,22.29338,427.0277,416.4989,15.12483624,16.77175077,247.2680898,298.7432078,"UBT"
"174",256,"Pygl",124.8575,108.1346,763.5263,883.4371,68.89105579,69.19650242,147.8882608,183.7481972,"UBT"
"175",257,"C1qc",123.6135972,184.0051844,18141.4176,25367.2732,78.53749672,70.00135012,3026.047106,5150.347044,"UBT"
"176",258,"Bst2",517.2239565,553.6966098,7155.953597,5573.162682,631.6008829,546.7101441,8255.544012,6695.018999,"UBT"
"177",259,"Ppt1",2029.235,1971.817,4823.108,5067.639,2100.713372,2079.154367,3837.850971,3691.078085,"UBT"
"178",260,"Igfbp3",111.8813,76.23305,4470.103,5277.043,85.53913644,88.28615848,4106.033914,1172.245719,"UBT"
"179",261,"Kazald1",265.5547,311.4751,1359.39,1320.893,289.4852238,259.3303809,1244.155237,1871.755311,"UBT"
"180",262,"Bace2",148.3010305,160.0500308,986.2437618,869.4211934,181.7589451,188.5710426,1184.089603,1178.001611,"UBT"
"181",263,"B2m",9652.150102,9909.68454,40800.5987,35441.21676,11745.92753,11012.91864,41501.86864,37886.05182,"UBT"
"182",266,"Tgfbi",317.202,330.01,1083.031,1134.348,364.0478415,354.0255948,958.3603455,1024.043807,"UBT"
"183",267,"Msr1",249.0114,222.7438,2316.072,2909.196,66.95922257,83.54875393,680.744755,816.3647621,"UBT"
"184",270,"Hsd17b11",937.4535,899.7468,2569.4,2841.238,1009.008093,998.1933998,1688.174931,1674.448973,"UBT"
"185",271,"Mrc1",278.5417,312.953,21040.23,33450.39,110.6570288,97.40809211,2561.571766,4583.944181,"UBT"
"186",274,"Lum",5912.268,5269.192,56172.87,45780.97,5966.774833,5769.904157,83292.15591,90579.45722,"UBT"
"187",276,"Irf5",77.42093,69.99785,925.7586,1207.302,60.70687851,52.0137581,264.9805161,325.9689594,"UBT"
"188",277,"S1pr1",1005.751,1013.011,2951.937,3331.072,943.7352997,862.4352097,2699.59844,3495.947055,"UBT"
"189",278,"Mapre2",1545.636,1524.304,4101.873,3896.095,1507.898936,1454.002464,4293.361341,3962.936681,"UBT"
"190",279,"Plau",982.1908,896.4739,9046.17,11476.48,715.2478248,736.2909304,2729.281559,3431.331287,"UBT"
