D0_SAG_1,D0_SAG_2,D7_SAG_1,D7_SAG_2,target_id
0.97719863,0,2.097590086,1.055556999,S1pr5
0,0,0,0,Saa-ps
0,0,0,0,Saa1
0,0,0,0,Saa2
7.481909166,5.578247593,26.10864943,265.7477575,Saa3
4.26436105,5.900980728,0,3.933528526,Saa4
878.4813558,945.9434471,1095.699926,1134.956048,Saal1
741.6937599,694.2002599,511.8119809,500.3340176,Sac3d1
269.8748192,281.4717251,216.6532994,222.7897353,Sacm1l
545.431002,562.3399221,159.21302,165.6847199,Sacs
4397.0457,4266.139838,4712.200306,5052.927522,Sae1
1115.679556,1117.891139,912.609275,1076.473432,Safb
916.9799866,927.12974,805.9680155,837.5258627,Safb2
59.19370645,64.1832407,60.24994691,44.54728851,Sag
14.65797945,15.71425355,4.195180171,8.444455994,Sall1
675.2217504,661.2084892,1239.473111,1032.81415,Sall2
2.931595889,1.848735712,1.048795043,0,Sall3
0,0,0,0,Sall4
1028.583295,1046.51927,867.2445651,900.8866202,Samd1
45.21577361,50.30925481,57.40225678,83.90647453,Samd10
48.73375101,47.37282263,21.32483932,11.74882191,Samd11
6.569497305,14.68450152,3.300240791,4.421802184,Samd12
5.342706261,4.677736228,2.406600692,7.172858406,Samd13
273.6466913,242.940141,544.9357272,512.0069751,Samd14
20.0654713,22.3982724,14.56291764,31.83917976,Samd15
0,0,0,0,Samd3
1695.727954,1649.215092,1348.136851,1393.381349,Samd4
3372.361569,3214.127772,2500.772569,2315.796221,Samd4b
417.6982878,422.6050069,1076.364488,772.421976,Samd5
0.704893061,2.000559817,0,0,Samd7
548.9504369,521.1845354,398.6829832,391.8498661,Samd8
574.0572322,543.596113,2078.255418,1688.870542,Samd9l
2248.813736,2177.12116,2466.72437,2641.814476,Samhd1
3816.937848,3922.092813,3642.465184,3942.505392,Samm50
3.652305973,2.591219889,43.12687309,70.08506264,Samsn1
0,0,0,0,Samt1
0,0,0,0,Samt2
0,0,0,0,Samt3
0,0,0,0,Samt4
2392.298628,2330.815603,2478.385635,2377.049652,Sap130
361.3568168,366.367525,145.2048707,199.2462793,Sap18
17938.8849,17520.9628,6676.13707,7133.955356,Sap18b
22.77395543,19.39217105,11.89798659,21.69086804,Sap25
189.5765342,210.7558712,315.6873079,385.2783047,Sap30
896.5651523,928.9513388,1322.198306,1258.924617,Sap30bp
766.1237257,678.4860063,860.0119351,917.2790324,Sap30l
1.09349385,1.075000889,2.13695186,3.186372737,Sapcd1
50.69632392,59.72838924,122.3166878,97.95482956,Sapcd2
1259.076821,1249.492433,1944.330304,2161.100416,Sar1a
1189.216904,1170.863768,1254.295761,1312.255644,Sar1b
3637.995269,3730.64881,4009.135242,3864.22413,Saraf
226.9150558,182.1121658,244.0192231,254.3690331,Sardh
40.93090107,37.91120215,43.00059675,47.84426574,Sarm1
1784.115716,1603.958046,1997.460823,2128.931336,Sarnp
18235.06313,17648.45571,9563.802095,10228.19223,Sars
336.8042745,321.7460614,335.0267349,370.7899442,Sars2
3063.517704,2912.130598,2988.017077,3170.249914,Sart1
