ID,D0SAG1,D0SAG2,D7SAG1,D7SAG2
mmu-miR-7037-5p,2,1,0,0
mmu-miR-7037-3p,1,0,1,0
mmu-miR-7036b-5p,4,10,3,4
mmu-miR-7036b-3p,0,0,0,1
mmu-miR-7036a-5p,1,1,1,0
mmu-miR-7036a-3p,3,2,0,0
mmu-miR-7035-5p,0,2,0,3
mmu-miR-7035-3p,3,4,6,10
mmu-miR-7034-5p,0,2,0,0
mmu-miR-7034-3p,6,2,2,2
mmu-miR-7033-5p,16,3,7,5
mmu-miR-7033-3p,2,0,0,0
mmu-miR-7032-5p,0,0,0,0
mmu-miR-7032-3p,1,3,0,3
mmu-miR-7031-5p,4,2,4,2
mmu-miR-7031-3p,0,0,1,3
mmu-miR-7030-5p,1,0,0,0
mmu-miR-7030-3p,0,0,0,0
mmu-miR-703,0,0,0,1
mmu-miR-7029-5p,6,6,2,6
mmu-miR-7029-3p,0,0,1,1
mmu-miR-7028-5p,1,0,0,1
mmu-miR-7027-5p,1,0,1,0
mmu-miR-7027-3p,1,1,0,1
mmu-miR-7026-5p,11,5,2,4
mmu-miR-7026-3p,0,0,0,0
mmu-miR-7025-5p,0,1,0,0
mmu-miR-7025-3p,40,27,27,27
mmu-miR-7024-5p,0,5,0,1
mmu-miR-7024-3p,1,2,2,3
mmu-miR-7023-5p,0,0,0,0
mmu-miR-7023-3p,0,0,0,0
mmu-miR-7022-5p,2,0,0,0
mmu-miR-7022-3p,0,0,2,0
mmu-miR-7021-5p,10,17,16,6
mmu-miR-7021-3p,1,0,0,0
mmu-miR-7020-5p,1,0,0,0
mmu-miR-7020-3p,0,0,0,0
mmu-miR-702-5p,4,8,5,6
mmu-miR-702-3p,25,16,17,19
mmu-miR-7019-5p,0,0,1,0
mmu-miR-7019-3p,4,5,3,1
mmu-miR-7018-5p,0,1,1,1
mmu-miR-7018-3p,44,50,16,33
mmu-miR-7017-5p,1,2,1,1
mmu-miR-7017-3p,1,0,1,0
mmu-miR-7016-5p,0,0,1,4
mmu-miR-7016-3p,0,0,1,0
mmu-miR-7015-5p,0,0,0,0
mmu-miR-7015-3p,2,1,6,5
mmu-miR-7014-5p,0,0,1,0
mmu-miR-7014-3p,0,0,0,0
mmu-miR-7013-5p,3,9,8,3
mmu-miR-7013-3p,3,2,1,1
mmu-miR-7012-5p,0,0,2,2
mmu-miR-7010-5p,0,4,0,0
mmu-miR-701-5p,138,145,120,90
mmu-miR-701-3p,36,33,40,35
mmu-miR-7009-5p,13,12,8,11
mmu-miR-7009-3p,0,1,1,2
mmu-miR-7008-5p,2,3,1,1
mmu-miR-7008-3p,2,0,2,1
mmu-miR-7007-5p,0,0,0,0
mmu-miR-7007-3p,0,0,0,0
mmu-miR-7006-5p,0,0,0,0
mmu-miR-7004-5p,0,0,1,1
mmu-miR-7003-5p,0,0,0,0
mmu-miR-7002-5p,0,0,0,2
mmu-miR-7002-3p,0,0,0,0
mmu-miR-7001-3p,0,0,0,0
mmu-miR-7000-5p,1,0,0,0
mmu-miR-7000-3p,1,0,0,2
mmu-miR-700-5p,458,311,434,430
mmu-miR-700-3p,1344,825,905,913
mmu-miR-6999-3p,0,1,0,0
mmu-miR-6998-5p,2,0,3,0
mmu-miR-6998-3p,8,2,4,2
mmu-miR-6997-5p,6,8,1,5
mmu-miR-6997-3p,2,9,3,4
mmu-miR-6996-5p,6,6,4,4
mmu-miR-6996-3p,3,1,2,0
mmu-miR-6995-5p,3,3,0,1
mmu-miR-6995-3p,0,0,3,0
mmu-miR-6994-5p,6,4,4,2
mmu-miR-6994-3p,2,6,3,7
mmu-miR-6993-5p,2,1,0,0
mmu-miR-6992-5p,0,3,6,0
mmu-miR-6992-3p,0,0,1,1
mmu-miR-6991-5p,3,0,0,0
mmu-miR-6991-3p,0,0,0,0
mmu-miR-6990-5p,14,5,7,11
mmu-miR-6989-5p,1,0,0,0
mmu-miR-6989-3p,1,1,3,1
mmu-miR-6988-5p,0,0,1,0
mmu-miR-6988-3p,0,5,0,1
mmu-miR-6987-5p,1,1,2,5
mmu-miR-6987-3p,0,0,0,1
mmu-miR-6986-5p,5,7,13,8
mmu-miR-6986-3p,0,0,1,0
mmu-miR-6985-5p,0,0,4,0
mmu-miR-6985-3p,3,6,2,7
mmu-miR-6984-5p,1,4,2,0
mmu-miR-6984-3p,0,0,1,1
mmu-miR-6983-5p,0,0,1,2
mmu-miR-6983-3p,0,0,0,0
mmu-miR-6981-3p,0,0,1,1
mmu-miR-6980-5p,0,0,0,1
mmu-miR-698-5p,0,1,0,1
mmu-miR-698-3p,0,0,1,1
mmu-miR-6979-3p,1,0,0,1
mmu-miR-6978-3p,0,0,0,1
mmu-miR-6977-5p,0,0,0,0
mmu-miR-6977-3p,7,6,7,3
mmu-miR-6976-5p,2,7,3,1
mmu-miR-6975-5p,0,0,1,0
mmu-miR-6975-3p,2,0,1,0
mmu-miR-6974-5p,0,0,0,0
mmu-miR-6972-3p,0,0,0,0
mmu-miR-6971-5p,0,1,0,0
mmu-miR-6971-3p,2,1,3,0
mmu-miR-6970-5p,3,1,3,6
mmu-miR-6970-3p,16,11,8,12
mmu-miR-6968-5p,1,0,0,0
mmu-miR-6968-3p,1,0,0,2
mmu-miR-6967-5p,8,6,4,6
mmu-miR-6967-3p,1,0,7,3
mmu-miR-6966-5p,6,2,3,2
mmu-miR-6966-3p,6,1,1,1
mmu-miR-6965-3p,2,1,1,0
mmu-miR-6964-5p,0,0,1,0
mmu-miR-6964-3p,0,0,0,0
